abstract,article_link,authors,current_issue_index,current_issue_link,current_volume_name,doi,journal_name,title
"This study examines the impact of performance pay on teacher selection. I exploit a shift toward performance pay in Wisconsin induced by the enactment of Act 10, which gave school districts autonomy to redesign their compensation schemes. Following the law, half of Wisconsin school districts eliminated salary schedules and started negotiating pay with individual teachers based on performance. Comparing the quantity of teaching degrees in Wisconsin institutions before and after Act 10, and relative to those in similar states, I find that Act 10 led to a 20 percent increase in teaching degrees. This effect was entirely driven by selective universities.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211039,E. Jason Baron,111: 445-49,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211039,AEA Papers and Proceedings,"Union Reform, Performance Pay, and New Teacher Supply: Evidence from Wisconsin's Act 10"
"We use causal forests to evaluate the heterogeneous treatment effects (TEs) of repeated behavioral nudges toward household energy conservation. The average response to treatment is a monthly electricity reduction of 9 kilowatt-hours (kWh), but the full distribution of responses ranges from -40 to +10 kWh. Households learn to reduce more over time, conditional on having responded in year one. Pre-treatment consumption and home value are the most commonly used predictors in the forest. The results suggest the ability to use machine learning techniques for improved targeting and tailoring of treatment.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211090,Christopher R. Knittel; Samuel Stolper,111: 440-44,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211090,AEA Papers and Proceedings,Machine Learning about Treatment Effect Heterogeneity: The Case of Household Energy Use
"Many environmental regulations are designed to clean up the dirtiest firms. However, if pollution intensity is negatively correlated with market share, this approach may not be the most cost-effective way to reduce pollution. This paper illustrates the theoretical conditions under which it is more cost effective to incentivize pollution intensity improvements among relatively cleaner firms. I provide a decision rule for regulators designing pollution reduction policy, and I show that the California wholesale electricity sector exhibits investment behavior consistent with the trade-off implied by this rule.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211089,Paige Weber,111: 436-39,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211089,AEA Papers and Proceedings,Making Clean Firms Cleaner: Targeting Environmental Regulation to Maximize Returns
"We provide the first at-scale estimate of electric vehicle (EV) home charging. Previous estimates are based on conflicting surveys or are extrapolated from a small, unrepresentative sample of households with dedicated EV meters. We combine billions of hourly electricity meter measurements with address-level EV registration records from California households, including 64,000 EV owners. The average EV increases overall household load by 2.9 kilowatt-hours per day, well under half the amount assumed by state regulators. Results imply that EVs travel less than expected on electric power, raising questions about transportation electrification for climate policy.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211088,Fiona Burlig; James Bushnell; David Rapson; Catherine Wolfram,111: 430-35,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211088,AEA Papers and Proceedings,Low Energy: Estimating Electric Vehicle Electricity Use
"We estimate consumer response to the first large-scale real-time electricity pricing (RTP) program. In 2015, RTP became the default tariff for residential customers in Spain, exposing them to prices that vary hourly based on day-ahead wholesale prices. Using expected national wind production as an instrument for price, we estimate household-level demand elasticities for RTP households and non-RTP (placebo) households. Estimates show no difference in behavior across RTP and non-RTP households. Reasons for nonresponse may include low potential gains or high nonmonetary costs of information acquisition and behavioral change. We discuss implications for optimal dynamic electricity pricing.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211007,Natalia Fabra; David Rapson; Mar Reguant; Jingyuan Wang,111: 425-29,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211007,AEA Papers and Proceedings,Estimating the Elasticity to Real-Time Pricing: Evidence from the Spanish Electricity Market
"In Delhi, one of the world's most polluted cities, there is relatively little information on indoor air pollution and how it varies by socioeconomic status (SES). Using indoor air quality monitors (IAQMs), we find that winter levels of household air pollution exceed World Health Organization standards by more than 20 times in both high- and low-SES households. We then evaluate a field experiment that randomly assigned monthlong IAQM user trials across medium- and high-SES households but suffered from significant survey non-response. Among respondents, IAQMs did not affect take-up of subsidized air purifier rentals or other defensive behavior.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211006,Michael Greenstone; Kenneth Lee; Harshil Sahai,111: 420-24,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211006,AEA Papers and Proceedings,"Indoor Air Quality, Information, and Socioeconomic Status: Evidence from Delhi"
"This paper examines the link between electoral incentives and environmental degradation by exploiting a satellite dataset on 107,000 forest fires and 879 asynchronous district elections in Indonesia. Fires represent a cheap but illegal means of converting forested land to other uses, but they risk burning out of control and creating substantial negative environmental externalities. We find a significant electoral cycle in forest fires. Ignitions and area burned decline during election years but steeply increase in the year after. The results suggest that politicians may suppress this activity at times when it might particularly dent their electoral chances.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211005,Clare Balboni; Robin Burgess; Anton Heil; Jonathan Old; Benjamin A. Olken,111: 415-19,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211005,AEA Papers and Proceedings,Cycles of Fire? Politics and Forest Burning in Indonesia
Do US air pollution offset markets disproportionately relocate pollution to or from low-income or minority communities? Concerns about an equal distribution of environmental quality across communities—environmental justice—have growing policy influence. We relate prices and quantities of offset transactions to the demographics of the communities surrounding polluting plants. We find little association of offset prices or offset-induced movements in pollution with the share of a community that is Black or Hispanic or with mean household income. This analysis of 12 prominent offset markets suggests that they do not substantially increase or decrease the equity of environmental outcomes.,https://www.aeaweb.org/articles?id=10.1257/pandp.20211004,Joseph S. Shapiro; Reed Walker,111: 410-14,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211004,AEA Papers and Proceedings,Where Is Pollution Moving? Environmental Markets and Environmental Justice
"Martin and Zhang (2020) show that the increase in manufacturing output in China's special economic zones significantly increased air pollution. In this complementary paper, we document that widespread migration into these industrial clusters between 2000 and 2010 did little to change overall population exposure to pollution. We show using satellite air pollution data that there is much heterogeneity across zones and that most population growth occurred in relatively cleaner zones, supporting recent literature that documents local willingness to make location decisions based on environmental quality (Chen et al. 2019, Khanna et al. 2020).",https://www.aeaweb.org/articles?id=10.1257/pandp.20211074,Leslie A. Martin; Katie Zhang,111: 406-09,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211074,AEA Papers and Proceedings,Changing Population Exposure to Pollution in China's Special Economic Zones
"Governments taxing carbon emissions within their jurisdiction can impose a commensurate tax on emissions embodied in imports in order to mitigate emissions leakage. California offers a rare opportunity to investigate how such a border carbon adjustment (BCA) is working in practice. Experience to date highlights important tensions between greenhouse gas accounting accuracy, market efficiency, and concerns about trade protectionism. We simulate electricity market outcomes under BCA designs that differ in terms of how the carbon intensity of imports is assessed. Simulations suggest significant potential for leakage via resource shuffling. Realized emissions outcomes indicate that this potential has not been fully realized.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211073,Meredith Fowlie; Claire Petersen; Mar Reguant,111: 401-05,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211073,AEA Papers and Proceedings,Border Carbon Adjustments When Carbon Intensity Varies across Producers: Evidence from California
This paper characterizes the importance of ownership networks of firms that are subject to a prominent energy regulation in China: the Top 1000 Enterprises Energy-Saving Program. We use data on the activities of regulated and unregulated firms that are part of the same conglomerate to study the overall importance of conglomerates as well as their geographic concentration. Accounting for business networks of regulated firms significantly increases the fraction of output that is affected by the regulation. We also document that most related firms of Top 1000 firms are located in the same province.,https://www.aeaweb.org/articles?id=10.1257/pandp.20211072,Qiaoyi Chen; Zhao Chen; Zhikuo Liu; Juan Carlos Suárez Serrato; Daniel Yi Xu,111: 396-400,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211072,AEA Papers and Proceedings,Industrial Energy Regulation: The Role of Business Conglomerates in China
China emits twice as much CO,https://www.aeaweb.org/articles?id=10.1257/pandp.20211071,Douglas Almond; Shuang Zhang,111: 391-95,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211071,AEA Papers and Proceedings,Carbon-Trading Pilot Programs in China and Local Air Quality
"Under the Paris Agreement, India has pledged that 40 percent of its electricity generating capacity will come from non-fossil-fuel sources by the year 2030; however, this pledge does not limit total coal-fired generating capacity. As of 2019, planned increases in coal-fired capacity totaled 95 gigawatts—46 percent of installed coal-fired capacity in 2018. In this paper, we estimate the carbon dioxide benefits and health co-benefits of not building these plants. We also estimate the mortality impacts of the 2018 stock of coal-fired power plants and use it to calculate the tax on electricity generation from coal that would internalize these damages.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211034,Maureen Cropper; Ryna Cui; Sarath Guttikunda; Nate Hultman; Puja Jawahar; Yongjoon Park; Xinlu Yao; Xiaopeng Song,111: 386-90,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211034,AEA Papers and Proceedings,The Health Impacts of Coal-Fired Power Plants in India and the Co-benefits of Greenhouse Gas Reductions
"Under the stated goal of improving air quality, many cities in China restricted the import of used vehicles from other cities based on tail pipe emission standards. Using detailed data on new and used vehicle registration, we examine the impact of the policy by leveraging the staggered removal of the restriction during 2016–2018. We find that restriction removal led to a sharp increase in cross-city flow of used vehicles but had no significant impact on local air quality. Unilateral removal of the restriction could reduce new vehicle sales in home cities, but universal removal would boost new vehicle sales nationwide.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211033,Jie Bai; Shanjun Li; Danxia Xie; Hui Zhou,111: 381-85,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211033,AEA Papers and Proceedings,Environmental Protection or Environmental Protectionism? Evidence from Tail Pipe Emission Standards in China
"Reductions in ambient pollution have been suggested as a ""silver lining"" to the COVID-19 pandemic. We analyze China's pollution monitor data and account for the large annual improvements in air quality following the Lunar New Year, which essentially coincided with lock-downs. With the exception of nitrogen dioxide, China's air quality improvements in 2020 are smaller than we should expect near the pandemic's epicenter, Hubei province. We see smaller improvements in sulfur dioxide than expected, while ozone concentrations roughly doubled in Hubei. Similar patterns are found for the six provinces neighboring Hubei. We conclude that COVID-19 had ambiguous impacts on China's air quality.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211032,Douglas Almond; Xinming Du; Valerie J. Karplus; Shuang Zhang,111: 376-80,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211032,AEA Papers and Proceedings,Ambiguous Air Pollution Effects of China's COVID-19 Lock-Down
"""Placebo tests"" are normally used to support evidence of pollution impacts on health outcomes. In this study, we argue that one should be cautious to proceed with falsification tests. We examine how a large metropolitan area in Brazil copes with increased health-care demand due to high air pollution under hospital capacity constraints. Using wind as an instrument, we find that the pollution exposure increases pediatric hospitalization for respiratory diseases while the number of planned procedures decreases in public hospitals. On average, for every four additional pollution-related admissions, one elective care procedure is displaced. Urgent procedures are not displaced.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211031,Bruna Guidetti; Paula Pereda; Edson Severnini,111: 371-75,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211031,AEA Papers and Proceedings,"""Placebo Tests"" for the Impacts of Air Pollution on Health: The Challenge of Limited Health Care Infrastructure"
"Using monthly data on costly natural disasters affecting the United States over the last 40 years, we estimate 2 time series models and use them to generate predictions about the impact of COVID-19. We find that while our models yield reasonable estimates of the impact on industrial production and the number of scheduled flight departures, they underestimate the unprecedented changes in the labor market.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211066,Sydney C. Ludvigson; Sai Ma; Serena Ng,111: 366-70,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211066,AEA Papers and Proceedings,COVID-19 and the Costs of Deadly Disasters
"We study the behavior of implied dividend volatility, constructed from the prices of options on index-level dividends, during the COVID-19 pandemic. We use these data to construct a lower bound on expected excess returns on dividend claims and find that the bound moves significantly over time. However, most of the variation in dividend futures prices reflects changes in growth expectations rather than expected excess returns, making them valuable assets to uncover growth expectations. We conclude that the short-term economic outlook is uncertain and not expected to recover in the near term.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211065,Niels J. Gormsen; Ralph S. J. Koijen; Ian W. R. Martin,111: 361-65,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211065,AEA Papers and Proceedings,Implied Dividend Volatility and Expected Growth
"A simple model of COVID-19 that incorporates feedback from disease prevalence to disease transmission through an endogenous response of human behavior does a remarkable job fitting the main features of the data on the growth rates of daily deaths observed across a large number of countries and states in the United States in 2020. This finding, however, suggests a new empirical puzzle: very large wedges that shift disease transmission rates holding disease prevalence fixed are required both across regions and within a region over time for the model to match the data on deaths from COVID-19 as an equilibrium outcome exactly.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211064,Andrew G. Atkeson; Karen Kopecky; Tao Zha,111: 356-60,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211064,AEA Papers and Proceedings,Behavior and the Transmission of COVID-19
"From early in the COVID-19 pandemic, economists have stressed the importance of individuals endogenously changing their behavior to reduce their risk of infection. This paper quantifies time variation in the endogenous behavioral response of economic activity to the prevalence of the virus using an estimated behavioral SIR model with time-varying parameters. We find significant variation in both the relationship between economic activity and viral prevalence and the relationship between transmissibility and economic activity. This variation reflects adaptation to the pandemic and has implications both for specification of behavioral SIR models and for the next stage of the pandemic.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211063,Michael Droste; James H. Stock,111: 351-55,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211063,AEA Papers and Proceedings,Adapting to the COVID-19 Pandemic
"Since the beginning of the COVID-19 pandemic, policymakers, researchers, and journalists have made comparisons to World War II. In 1940, a group of top US science administrators organized a major coordinated research effort to support the Allied war effort, including significant investments in medical research that yielded innovations like mass-produced penicillin, antimalarials, and a flu vaccine. We draw on this episode to discuss the economics of crisis innovation. Since the objectives of crisis R&D are different than ordinary R&D, we argue that appropriate R&D policy in a crisis requires going beyond the standard Nelson-Arrow framework for research policy.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211106,Daniel P. Gross; Bhaven N. Sampat,111: 346-50,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211106,AEA Papers and Proceedings,The Economics of Crisis Innovation Policy: A Historical Perspective
"Recent policy attention has focused on proposals to reduce prices for drugs that have received public funding. From an implementation perspective, such policies rely on public disclosure of government support for research. In this paper, we highlight two conceptual problems with past attempts to measure these public disclosures and construct a new dataset that corrects for these problems. Our corrected measures suggest that underreporting of public research support is less of an issue than previously thought.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211105,Maya Durvasula; Lisa Larrimore Ouellette; Heidi Williams,111: 341-45,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211105,AEA Papers and Proceedings,Private and Public Investments in Biomedical Research
"Investment in intangible capital such as R&D has increased dramatically since the 1990s. However, productivity growth remains sluggish in recent years. One potential reason is that a significant share of the increase in intangible investment is geared toward consumer products such as pharmaceutical drugs with limited spillovers to productivity. We document that a significant share of R&D spending in the United States is done by pharmaceutical firms and geared to developing drugs for older patients. Increased life expectancy and quality of life for the elderly increases welfare but may not be reflected in estimates of total factor productivity.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211104,Efraim Benmelech; Janice Eberly; Dimitris Papanikolaou; Joshua Krieger,111: 336-40,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211104,AEA Papers and Proceedings,Private and Social Returns to R&D: Drug Development and Demographics
"Vaccinating the world's population quickly in a pandemic has enormous health and economic benefits. We analyze the problem faced by governments in determining the scale and structure of procurement for vaccines. We analyze alternative approaches to procurement, arguing that buyers should directly fund manufacturing capacity and shoulder most of the risk of failure while maintaining some direct incentives for speed. We analyzed the optimal portfolio of vaccine investments for countries with different characteristics as well as the implications for international cooperation. Our analysis, considered in light of the experience of 2020, suggests lessons for future pandemics.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211103,Amrita Ahuja; Susan Athey; Arthur Baker; Eric Budish; Juan Camilo Castillo; Rachel Glennerster; Scott Duke Kominers; Michael Kremer; Jean Lee; Canice Prendergast; Christopher M. Snyder; Alex Tabarrok; Brandon Joel Tan; Witold Więcek,111: 331-35,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211103,AEA Papers and Proceedings,Preparing for a Pandemic: Accelerating Vaccine Availability
"This paper describes a weekly economic index (WEI) developed to track the rapid economic developments associated with the onset of and policy response to the novel coronavirus in the United States. The WEI, with its ten component series, tracks the overall economy. Comparing the contributions of the WEI's components in the 2008 and 2020 recessions reveals differences in how the two events played out at a high frequency. During the 2020 collapse and recovery, it provides a benchmark to interpret similarities and differences of novel indicators with shorter samples and/or nonstationary coverage, such as mobility indexes or credit card spending.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211050,Daniel J. Lewis; Karel Mertens; James H. Stock; Mihir Trivedi,111: 326-30,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211050,AEA Papers and Proceedings,High-Frequency Data and a Weekly Economic Index during the Pandemic
"Pandemic-driven economic changes are measurable in days and weeks rather than months and years, underscoring a need for more timely economic data to inform the public. We summarize newly available estimates of spending using card transaction data that are available on the Bureau of Economic Analysis website and analyze correlations between card data and official series. We find that card data perform well in measuring large changes in the economy around the pandemic, although the correlations are much lower during a period of stability prior to the pandemic. This pattern is likely attributable to a shift in the signal-to-noise ratio over these periods.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211049,Abe Dunn; Kyle Hood; Andrea Batch; Alex Driessen,111: 321-25,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211049,AEA Papers and Proceedings,Measuring Consumer Spending Using Card Transaction Data: Lessons from the COVID-19 Pandemic
"The US Bureau of Labor Statistics (BLS) continued to produce key employment statistics while reengineering operations as a result of the COVID-19 pandemic. In-person data collection moved to electronic, deadlines were adjusted, and flexibilities were implemented to get the job done, all while maintaining confidentiality and data quality. Opportunities arose, such as collection of new information from households and businesses on changes that resulted from the pandemic. This is a story that continues to unfold and will transform the way BLS moves forward. This paper focuses on changes in BLS operations and in the economy as reflected in BLS data.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211048,William W. Beach,111: 317-20,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211048,AEA Papers and Proceedings,Maintaining and Enhancing Labor Statistics during the COVID-19 Pandemic
"We provide an overview of Census Bureau activities to enhance the consistency, timeliness, and relevance of our data products in response to the COVID-19 pandemic. We highlight new data products designed to provide timely and granular information on the pandemic's impact: the Small Business Pulse Survey, weekly Business Formation Statistics, the Household Pulse Survey, and Community Resilience Estimates. We describe pandemic-related content introduced to existing surveys such as the Annual Business Survey and the Current Population Survey. We discuss adaptations to ensure the continuity and consistency of existing data products such as principal economic indicators and the American Community Survey.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211047,Catherine Buffington; Jason Fields; Lucia Foster,111: 312-16,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211047,AEA Papers and Proceedings,Measuring the Impact of COVID-19 on Businesses and People: Lessons from the Census Bureau's Experience
"We use daily transaction data in 214 cities to study the impact of COVID-19 on consumption after China's outbreak in late January 2020. Based on difference-in-difference estimation, daily offline consumption—via bank card and mobile Quick Response code transactions—fell by 32 percent, or 18.57 million renminbi (RMB) per city, during the 12-week period. The effect is prevalent across cities and is more pronounced in the dining-and-entertainment and travel categories. We infer that China's offline consumption decreased by over 1.22 trillion RMB, or 1.2 percent of China's 2019 GDP, in the 3-month postoutbreak period.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211003,Haiqiang Chen; Wenlan Qian; Qiang Wen,111: 307-11,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211003,AEA Papers and Proceedings,The Impact of the COVID-19 Pandemic on Consumption: Learning from High-Frequency Transaction Data
"We examine how the outbreak of the COVID-19 virus in the Hubei province of China impacted pro-social behavior and attitudes toward risk and uncertainty. The study repeatedly applies a panel of financially incentivized individual and strategic decision tasks via the WeChat social media platform to a population of preregistered Wuhan University students. We find that the initial outbreak coupled with the lock-down of Wuhan City led to an uptick in altruism, trust, and ambiguity aversion and a downtick in risk aversion. Over the remaining samples, we observed that all measurements return to baseline levels except for risk aversion.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211002,Jason Shachat; Matthew J. Walker; Lijia Wei,111: 302-06,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211002,AEA Papers and Proceedings,The Impact of an Epidemic: Experimental Evidence on Preference Stability from Wuhan
"We experimentally study individuals' perceptions about and advice to others regarding retirement savings and annuitization during the pandemic. Many people recommend that others save more for retirement, but those most affected by the pandemic tell others to save and annuitize less. We investigate two possible channels for this result and show that the pandemic does not substantially alter optimism regarding survival probabilities. Hence, we conclude that economic factors are driving our results. Consequently, some financial ramifications of the COVID-19 outbreak are yet to be revealed, as the pandemic is having longer-term effects on people's willingness to save and annuitize.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211001,Abigail Hurwitz; Olivia S. Mitchell; Orly Sade,111: 297-301,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211001,AEA Papers and Proceedings,Longevity Perceptions and Saving Decisions during the COVID-19 Outbreak: An Experimental Investigation
"Early in the COVID-19 pandemic, much of the US economy was closed to limit the virus's spread, and several emergency interventions were implemented. Our analysis of older (45–75) respondents fielded in April–May of 2020 indicates that about 1 in 5 respondents was financially fragile and would have difficulty facing a midsize emergency expense. Some subgroups were at particular risk of facing financial difficulties, especially younger respondents, those with larger families, Hispanics, and those with low income. Moreover, the more financially literate were better able to handle such shocks, indicating that knowledge can provide some additional protection during a pandemic.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211000,Robert L. Clark; Annamaria Lusardi; Olivia S. Mitchell,111: 292-96,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211000,AEA Papers and Proceedings,Financial Fragility during the COVID-19 Pandemic
"Drawing on data from the firm-level Survey of Business Uncertainty, we present three pieces of evidence that COVID-19 is a persistent reallocation shock. First, rates of excess job and sales reallocation over 24-month periods (looking back 12 months and ahead 12 months) have risen sharply since the pandemic struck, especially for sales. Second, as of December 2020, firm-level forecasts of sales revenue growth over the next year imply a continuation of recent changes, not a reversal. Third, COVID-19 shifted relative employment growth trends in favor of industries with a high capacity for employees to work from home.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211110,Jose Maria Barrero; Nicholas Bloom; Steven J. Davis; Brent H. Meyer,111: 287-91,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211110,AEA Papers and Proceedings,COVID-19 Is a Persistent Reallocation Shock
"This paper assesses the prospects of a 2021 ""time bomb"" in small- and medium-sized enterprise (SME) failures triggered by the generous support policies enacted during the 2020 COVID-19 crisis. Policies implemented in 2020 do not on their own create a 2021 time bomb for SMEs. Rather, business failures and policy costs remain modest. By contrast, credit contraction poses significant risk. Such a contraction would disproportionately impact firms that could survive COVID-19 in 2020 without any fiscal support. Even in that scenario, most business failures would arise not from excessively generous 2020 policies but rather from the contraction of credit to the corporate sector.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211109,Pierre-Olivier Gourinchas; Şebnem Kalemli-Özcan; Veronika Penciakova; Nick Sander,111: 282-86,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211109,AEA Papers and Proceedings,"COVID-19 and Small- and Medium-Sized Enterprises: A 2021 ""Time Bomb""?"
"The outbreak of the COVID-19 virus has led many states to take the drastic measures of social distancing. Using US executive order, occupation, and survey data, we measure the fall in labor supply due to these measures. Starting from a model of production networks, we analyze the sectoral effects of these labor shocks for the United States. We find that nonlinearities in the production network account for around half of the drop in GDP associated to the implementation of social distancing measures. The model also generates realistic dispersion in sectoral output change.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211108,Jean-Noël Barrot; Basile Grassi; Julien Sauvagnat,111: 277-81,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211108,AEA Papers and Proceedings,Sectoral Effects of Social Distancing
"The COVID-19 crisis is a seemingly all-encompassing shock to supply and demand. These negative shocks affected industries differently: some switched to remote work, maintaining employment and production, while others reduced capacity and shed workers. We consider a stripped-down version of the model in Baqaee and Farhi (2020). The model allows for an arbitrary input-output network, complementarities, incomplete markets, downward wage rigidity, and a zero lower bound. Nevertheless, the model has a stark property: factor income shares at the initial equilibrium are global sufficient statistics for the production network, clarifying assumptions that must be broken if the network is to matter.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211107,David Baqaee; Emmanuel Farhi,111: 272-76,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211107,AEA Papers and Proceedings,Keynesian Production Networks and the COVID-19 Crisis: A Simple Benchmark
"Using data from 14 government sources, we develop comprehensive estimates of US economic activity by sector, legal form of organization, and firm size to characterize how four government direct-lending programs—the Paycheck Protection Program, Main Street Lending Program, Corporate Credit Facilities, and Municipal Liquidity Facility—relate to these classes of economic activity in the United States. The classes targeted by these programs are vast—accounting for 97 percent of total US employment—though entity-specific financial criteria limit coverage within specific programs. These programs notionally cover a far larger universe than what was targeted by analogous Great Recession-era lending policies.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211058,Ryan A. Decker; Robert J. Kurtzman; Byron F. Lutz; Christopher J. Nekarda,111: 267-71,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211058,AEA Papers and Proceedings,Across the Universe: Policy Support for Employment and Revenue in the Pandemic Recession
"We examine the text content of US patent applications, identifying those that advance technologies in support of video conferencing, telecommuting, remote interactivity, and working from home (collectively, WFH). The share of new patent applications that advance WFH technologies more than doubles from January to September of 2020, greatly surpassing its previous peak and following an upward trajectory since the onset of the pandemic. This evidence suggests that (re)directed technical change in reaction to COVID-19 will raise the quality and efficiency of remote work, thereby reinforcing a shift to working from home even after the pandemic ends.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211057,Nicholas Bloom; Steven J. Davis; Yulia Zhestkova,111: 263-66,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211057,AEA Papers and Proceedings,COVID-19 Shifted Patent Applications toward Technologies That Support Working from Home
"In this paper, we show that the pandemic recession has led to frequent cuts in nominal wages. Within three months in 2020, as many wage cuts had occurred as occurred throughout the Great Recession. Unlike employment declines, wage cuts were concentrated at the top of the wage distribution. However, these cuts have been relatively short lived, particularly among high earners. Finally, wage cuts have been concentrated in firms that have seen large employment declines. Wage cuts appear not to be a substitute for cutting employment, at least when the shock to labor demand is this large.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211056,John Grigsby; Erik Hurst; Ahu Yildirmaz; Yulia Zhestkova,111: 258-62,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211056,AEA Papers and Proceedings,Nominal Wage Adjustments during the Pandemic Recession
"The trajectory of new business applications and transitions to employer businesses differs markedly during the Great Recession and the COVID-19 recession. Both applications and transitions to employer start-ups decreased slowly but persistently in the post-Lehman crisis period of the Great Recession. In contrast, during the COVID-19 recession, new applications initially declined but have since sharply rebounded, resulting in a surge in applications during 2020. Projected transitions to employer businesses also rise, but this is dampened by a change in the composition of applications in 2020 toward applications that are more likely to be nonemployers.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211055,Emin Dinlersoz; Timothy Dunne; John Haltiwanger; Veronika Penciakova,111: 253-57,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211055,AEA Papers and Proceedings,Business Formation: A Tale of Two Recessions
"Harmonized commercial laws are considered an essential ingredient to commerce and trade and have been called the backbone of American commerce. Key components of these laws are those governing secured transactions. In recent years, Native American tribal governments have moved to adopt commercial codes to increase economic development on their reservations, but many have modified these codes to address challenges to tribal sovereignty and culture. This paper compares reservations that adopted modified secured transaction acts to reservations that adopted uniform laws. We demonstrate that reservations can potentially experience substantial economic gains from either form of adoption.",https://www.aeaweb.org/articles?id=10.1257/pandp.20211102,Christian Dippel; Donna Feir; Bryan Leonard; Marc Roark,111: 248-52,https://www.aeaweb.org/issues/635,,DOI: 10.1257/pandp.20211102,AEA Papers and Proceedings,Secured Transactions Laws and Economic Development on American Indian Reservations
